FILIAL;REFERÊNCIA_COR;DESCRIÇÃO_PRODUTO;CATEGORIA;SUB CATEGORIA;VALOR_VENDA;QTDE_ESTOQUE;STATUS_REFERÊNCIA;MOTIVO_STATUS;STATUS_DESATIVADO
LOJA 04;29.16514_04323;BLUSA TRICOT PONTO ESCAMA               ;BLUSA;BLUSA;298;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16306_0005;CALCA LAISE BICOLOR                     ;CALÇA;CALÇA;199;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16308_04114;CAMISAO                                 ;BLUSA;CAMISAO;139;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.16376_04326;BLUSA MANGA 3/4 DECOTE V                ;BLUSA;BLUSA;139;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16432_0091;CALCA JEANS WIDE                        ;CALÇA;CALÇA;139;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16386_04317;CAMISA PREGAS MG BUFANTE                ;BLUSA;CAMISA;398;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16093_0024;BLUSA SILK CARIMBO BOQUINHA             ;BLUSA;BLUSA;99;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16310_27554;BLUSA ESTAMPA MARIETA                   ;BLUSA;BLUSA;89;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15840_04312;CALCA PANTALONA CINTO PESPONTO          ;CALÇA;CALÇA;239;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16483_0005;MACACAO BUSTO FRANZIDO                  ;MACACAO;MACACAO;239;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.15804_0005;SHORT JEANS DESTROYED BLACK             ;BERMUDA /SHORT;SHORT;119;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.15901_0005;BLUSA BASICA BARRA A FIO                ;BLUSA;BLUSA;49;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16502_0326;CASACO TRICOT TELA COM BOLSOS           ;CASACO / JAQUETA;CASACO;259;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15868_30047;BLUSA MANGA LONGA ESTAMPA VOA ROYAL     ;BLUSA;BLUSA;358;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16514_0005;BLUSA TRICOT PONTO ESCAMA               ;BLUSA;BLUSA;149;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16013_04314;BLUSA DECOTE RECHEIO                    ;BLUSA;BLUSA;218;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.16456_04014;CALCA CREPE RETA RECORTES PESPONTOS     ;CALÇA;CALÇA;578;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.15928_30001;MACACAO ESTAMPA NATUREZA ESTRELA        ;MACACAO;MACACAO;239;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16456_04304;CALCA CREPE RETA RECORTES PESPONTOS     ;CALÇA;CALÇA;578;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.16537_0005;CASACO TRICOT CANELADO LONGO            ;CASACO / JAQUETA;CASACO;149;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16459_0005;CALCA CREPE PANTALONA ABOTOAMENTO LATERA;CALÇA;CALÇA;359;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16461_0005;CALCA CREPE RETA RECORTES               ;CALÇA;CALÇA;778;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15911_04017;BLUSA MANGA LONGA CROPPED               ;BLUSA;BLUSA;198;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16132_04312;BLUSA DECOTE GOLA TRANCADA              ;BLUSA;BLUSA;89;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14387_0015;VESTIDO LONGO LAXTEX LISTRAS            ;VESTIDO;VESTIDO;199;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14788_04074;VESTIDO CURTO DECOTE QUADRADO           ;VESTIDO;VESTIDO;179;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15724_0024;CAMISA LONGA MAQUINETADA                ;BLUSA;CAMISA;179;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14988_04035;CROPPED BICOLOR                         ;BLUSA;CROPPED;138;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14909_0024;MACAQUINHO DECOTE BABADO                ;MACACAO;MACAQUINHO;189;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15627_0001;VESTIDO GGT BOJO BIQUINI TUNEL CURTO    ;VESTIDO;VESTIDO;239;2;COM FOTO;DESATIVADO;PROBLEMAS DE QUALIDADE DO PRODUTO
LOJA 04;29.14888_04071;BLUSA DETALHE COSTAS AMARRACAO          ;BLUSA;BLUSA;198;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15112_0024;CALCA SARJA PESPONTOS COLORIDOS         ;CALÇA;CALÇA;149;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15402_0068;COLAR LAGOSTA RESINA                    ;ACESSÓRIO;COLAR;178;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14524_04016;PULSEIRA ENROSCADA DE MICANGA           ;ACESSÓRIO;PULSEIRA;238;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15444_04068;CAMISA ALGODAO BOLSO BORDADO            ;BLUSA;CAMISA;189;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14406_3194;SHORT CINTURA ALTA LATERAL CAVADA       ;BERMUDA /SHORT;SHORT;139;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15451_27590;CAMISA ESTAMPA NAUTICA MANGA CURTA      ;BLUSA;CAMISA;398;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15779_27564;SHORT ESTAMPA PISCINA FLAMINGO          ;BERMUDA /SHORT;SHORT;258;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15474_27588;SAIA ESTAMPA MASCARA CORDAO BORDADO MIDI;SAIA;SAIA;259;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15153_0091;MACACAO WIDE JEANS CADARCO              ;MACACAO;MACACAO;229;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14179_04020;CALCA PANTALONA PALA LASTEX             ;CALÇA;CALÇA;298;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14669_04061;VESTIDO MIDI DECOTE BABADO              ;VESTIDO;VESTIDO;398;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.15035_27578;BLUSA ALCA ESTAMPA CONCHA               ;BLUSA;BLUSA;158;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15156_0001;REGATA DETALHE PESPONTO DESTAQUE        ;BLUSA;REGATA;178;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14287_0024;BLUSA MANGA BORDADO                     ;BLUSA;BLUSA;518;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15162_04068;VESTIDO MIDI LISTRA BICOLOR             ;VESTIDO;VESTIDO;179;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14750_04066;VESTIDO MIDI LISTRA PISTACHE            ;VESTIDO;VESTIDO;518;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14970_00083;VESTIDO TRICOT SAIA LISTRAS             ;VESTIDO;VESTIDO;598;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14759_27556;BLUSA ESTAMPA SUEÑO OFF                 ;BLUSA;BLUSA;79;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15197_0091;SHORT JEANS DESTROYED                   ;BERMUDA /SHORT;SHORT;119;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14778_04022;SAIA CURTA ROLOTE LATERAL               ;SAIA;SAIA;139;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15449_0024;CALCA CREPE AMPLA PANTALONA             ;CALÇA;CALÇA;299;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.14848_0005;SANDALIA COURO PAPETE BICOLOR           ;SAPATO;SANDALIA;199;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14723_0024;VESTIDO MIDI RECORTE BOTOES             ;VESTIDO;VESTIDO;558;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14808_27411;CALCA ESTAMPA FLOREIO                   ;CALÇA;CALÇA;119;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15239_04003;REGATA U ACABAMENTO VIES                ;BLUSA;REGATA;98;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15482_27591;VESTIDO ESTAMPA DRINK BICOLOR MIDI      ;VESTIDO;VESTIDO;199;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15497_27570;VESTIDO TRICOT PISCINA EST ACAPULCO     ;VESTIDO;VESTIDO;518;2;COM FOTO;ATIVO NO SITE;0
